监测点位,X,Y,Z,采样深度/m,上层深度,下层深度,样品编号,pH值,苯并(a)芘,苯并(a)蒽,苯并(b)荧蒽,"二苯并(a,h)蒽","茚并(1,2,3-c,d)芘",萘,苯,乙苯,石油烃(C10-C40),砷,数据来源,2米分层（详查）,地面高程/m
S1-JM1,3796.316,7657.852,0.2,0-0.2,0,0.2,S1-JM1-1,7.61,ND,ND,ND,ND,ND,0.61,ND,ND,/,,工作井以北,2,4.062
S1-JM1,3796.316,7657.852,1.5,1.3-1.5,1.3,1.5,S1-JM1-2,8.11,ND,ND,ND,ND,ND,0.11,ND,ND,/,,工作井以北,2,4.062
S1-JM1,3796.316,7657.852,4,3.8-4.0,3.8,4,S1-JM1-3,7.01,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,4.062
S1-JM2,3769.726,7656.872,0.2,0-0.2,0,0.2,S1-JM2-1,8.01,ND,ND,ND,ND,ND,ND,0.0799,ND,/,,工作井以北,2,3.589
S1-JM2,3769.726,7656.872,1.5,1.3-1.5,1.3,1.5,S1-JM2-2,6.82,0.4,0.4,0.4,ND,0.3,0.11,ND,ND,/,,工作井以北,2,3.589
S1-JM2,3769.726,7656.872,4,3.8-4.0,3.8,4,S1-JM2-3,8.02,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,3.589
S2-JM2,3702.189,7700.368,0.2,0-0.2,0,0.2,S2-JM2-1,8.14,0.3,0.2,0.4,ND,0.3,ND,ND,ND,/,,工作井以北,2,4.03
S2-JM2,3702.189,7700.368,1.5,1.3-1.5,1.3,1.5,S2-JM2-2,8.64,0.3,0.3,0.3,ND,0.2,ND,ND,ND,/,,工作井以北,2,4.03
S2-JM2,3702.189,7700.368,4,3.8-4.0,3.8,4,S2-JM2-3,8.4,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,4.03
S3-JM1,3665.791,7712.022,0.2,0-0.2,0,0.2,S3-JM1-1,7.36,0.1,0.1,ND,ND,0.1,ND,ND,0.0574,/,,工作井以北,2,4.276
S3-JM1,3665.791,7712.022,2,1.8-2.0,1.8,2,S3-JM1-2,8.69,0.4,0.3,0.4,ND,0.2,1.98,0.675,9.76,/,,工作井以北,2,4.276
S3-JM1,3665.791,7712.022,3,2.8-3.0,2.8,3,S3-JM1-3,9.54,ND,ND,ND,ND,ND,1.75,0.248,3.51,/,,工作井以北,4,4.276
S3-JM1,3665.791,7712.022,4,3.8-4.0,3.8,4,S3-JM1-4,8.95,ND,ND,ND,ND,ND,0.71,3,6.99,/,,工作井以北,4,4.276
S3-JM1,3665.791,7712.022,6,5.8-6.0,5.8,6,S3-JM1-5,8.62,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,6,4.276
S3-JM2,3660.412,7734.836,0.2,0-0.2,0,0.2,S3-JM2-1,8.26,0.2,0.2,0.3,ND,0.2,ND,ND,ND,/,,工作井以北,2,3.825
S3-JM2,3660.412,7734.836,1.5,1.3-1.5,1.3,1.5,S3-JM2-2,8.02,1.5,1.2,1.9,0.2,1.1,0.13,ND,ND,/,,工作井以北,2,3.825
S3-JM2,3660.412,7734.836,4,3.8-4.0,3.8,4,S3-JM2-3,7.97,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,3.825
S3-JM2,3660.412,7734.836,6,5.8-6.0,5.8,6,S3-JM2-4,8.48,0.1,ND,ND,ND,ND,ND,0.0628,ND,/,,工作井以北,6,3.825
S4-JM3,3635.443,7779.231,0.2,0-0.2,0,0.2,S4-JM3-1,7.84,16,10.4,19.3,2.7,11.2,4.63,ND,ND,488,17.5,工作井以北,2,4.367
S4-JM3,3635.443,7779.231,2,1.8-2.0,1.8,2,S4-JM3-2,7.83,6.7,4.5,7.9,0.6,5.1,2.12,19,0.332,1100,13.7,工作井以北,2,4.367
S4-JM3,3635.443,7779.231,3,2.8-3.0,2.8,3,S4-JM3-3,8.55,9.4,9.5,10.3,0.5,5.2,96.9,7.93,3.34,1730,13.9,工作井以北,4,4.367
S4-JM3,3635.443,7779.231,4,3.8-4.0,3.8,4,S4-JM3-4,8.53,38.2,39.3,43.2,4.8,22.3,466,5.29,0.2,182,5.4,工作井以北,4,4.367
S4-JM3,3635.443,7779.231,6,5.8-6.0,5.8,6,S4-JM3-5,7.88,ND,ND,ND,ND,ND,ND,1.64,0.216,41,6.1,工作井以北,6,4.367
S4-JM3,3635.443,7779.231,7,6.8-7.0,6.8,7,S4-JM3-6,8.37,ND,ND,ND,ND,ND,ND,0.154,ND,ND,4.9,工作井以北,7,4.367
S4-JM3,3635.443,7779.231,8,7.8-8.0,7.8,8,S4-JM3-7,8.09,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.9,工作井以北,8,4.367
S5-JM1,3600.175,7765.852,0.2,0-0.2,0,0.2,S5-JM1-1,7.75,5.4,2.6,6.4,0.6,4.9,3.04,ND,ND,239,33.3,工作井以北,2,3.876
S5-JM1,3600.175,7765.852,2,1.8-2.0,1.8,2,S5-JM1-2,8.61,3.5,3.5,3.9,0.5,2.3,9.68,2.76,0.236,157,11.1,工作井以北,2,3.876
S5-JM1,3600.175,7765.852,3,2.8-3.0,2.8,3,S5-JM1-3,9.08,12.4,11.3,14.7,1.7,7.7,103,5.36,3.18,414,30.7,工作井以北,4,3.876
S5-JM1,3600.175,7765.852,4,3.8-4.0,3.8,4,S5-JM1-4,8.52,0.1,0.1,ND,ND,0.1,0.45,0.0516,ND,36,5.8,工作井以北,4,3.876
S5-JM1,3600.175,7765.852,6,5.8-6.0,5.8,6,S5-JM1-5,8.19,0.2,0.1,0.2,ND,0.2,1.31,ND,ND,18,5.6,工作井以北,6,3.876
SS2-JM1/S1-JM3,3762.117,7681.87,0.2,0-0.2,0,0.2,SS2-JM1/S1-JM3-1,8.48,0.1,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,2,3.507
SS2-JM1/S1-JM3,3762.117,7681.87,1.5,1.3-1.5,1.3,1.5,SS2-JM1/S1-JM3-2,8.35,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,2,3.507
SS2-JM1/S1-JM3,3762.117,7681.87,4,3.8-4.0,3.8,4,SS2-JM1/S1-JM3-3,7.88,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,3.507
SS2-JM2,3735.613,7679.088,0.2,0-0.2,0,0.2,SS2-JM2-1,8.24,2.3,2.7,2,0.4,1,2.53,ND,ND,/,,工作井以北,2,3.717
SS2-JM2,3735.613,7679.088,1.5,1.3-1.5,1.3,1.5,SS2-JM2-2,7.68,ND,ND,ND,ND,ND,0.13,ND,ND,/,,工作井以北,2,3.717
SS2-JM2,3735.613,7679.088,4,3.8-4.0,3.8,4,SS2-JM2-3,8.15,ND,ND,ND,ND,ND,0.12,ND,ND,/,,工作井以北,4,3.717
SS2-JM2,3735.613,7679.088,6,5.8-6.0,5.8,6,SS2-JM2-4,8.18,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,6,3.717
SS2-JM3/S2-JM1,3731.851,7707.549,0.2,0-0.2,0,0.2,SS2-JM3/S2-JM1-1,7.69,1.3,0.7,1.2,0.2,0.9,0.49,ND,ND,/,,工作井以北,2,4.076
SS2-JM3/S2-JM1,3731.851,7707.549,1.5,1.3-1.5,1.3,1.5,SS2-JM3/S2-JM1-2,8.07,0.4,0.4,0.3,ND,0.2,4.98,2.58,ND,/,,工作井以北,2,4.076
SS2-JM3/S2-JM1,3731.851,7707.549,4,3.8-4.0,3.8,4,SS2-JM3/S2-JM1-3,7.83,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,4.076
SS4-JM1/S2-JM3,3694.133,7730.165,0.2,0-0.2,0,0.2,SS4-JM1/S2-JM3-1,7.82,0.2,0.1,0.3,ND,0.2,0.21,0.0223,ND,/,,工作井以北,2,4.253
SS4-JM1/S2-JM3,3694.133,7730.165,1.5,1.3-1.5,1.3,1.5,SS4-JM1/S2-JM3-2,8.09,3.9,1.8,3.8,0.4,3.2,0.44,0.0166,ND,/,,工作井以北,2,4.253
SS4-JM1/S2-JM3,3694.133,7730.165,2.5,2.3-2.5,2.3,2.5,SS4-JM1/S2-JM3-3,8.67,5,3.2,3.6,0.7,3.3,13.2,1.64,6.4,/,,工作井以北,4,4.253
SS4-JM1/S2-JM3,3694.133,7730.165,4,3.8-4.0,3.8,4,SS4-JM1/S2-JM3-4,7.81,ND,ND,ND,ND,ND,ND,ND,ND,/,,工作井以北,4,4.253
SS4-JM2,3671.072,7728.018,0.2,0-0.2,0,0.2,SS4-JM2-1,7.92,1.9,1.5,2.1,0.3,1.4,0.32,ND,ND,/,,工作井以北,2,3.718
